date,ticker,return_1m,index_return,target,return_lag1,ret_3m,ret_6m,vol_3m,vol_6m,excess_return,rank_ret_3m,inflation,unemployment,interest_rate
2015-04-01,SAN.PA,-0.00794060282598208,-0.022121014749412082,0,0.04823267970295553,0.20154073422599383,0.05276901896067099,0.01789593116862264,0.0992814966295307,0.014180411923430003,0.6,-0.1,7.7,0.05
2015-05-01,SAN.PA,-0.02247828973732746,-0.01239356716454898,1,-0.00794060282598208,0.10980420756191545,0.22236310765977707,0.040014952689556835,0.04483696532027052,-0.010084722572778482,0.6,0.2,7.9,0.05
2015-06-01,SAN.PA,0.02172421044695083,-0.04102184376156981,1,-0.02247828973732746,0.017813787139645987,0.14286609778496773,0.0373426101792416,0.049284909085214726,0.06274605420852064,0.5,0.6,7.7,0.05
2015-07-01,SAN.PA,0.11026744236424135,0.05151122567033517,0,0.02172421044695083,-0.00869468211635871,0.19284605210963512,0.022528524547749864,0.04247843199119997,0.05875621669390618,0.8,0.5,7.6,0.05
2015-08-01,SAN.PA,-0.10003066173299935,-0.09194350637824,1,0.11026744236424135,0.10951336307386472,0.21931757063578017,0.06759585087375518,0.04968058994538653,-0.008087155354759346,0.95,0.6,7.2,0.05
2015-09-01,SAN.PA,-0.03720074778475846,-0.05167556175874022,0,-0.10003066173299935,0.031960991078192835,0.04977477821783882,0.10558523050503558,0.07087845949437725,0.01447481397398176,0.9,0.4,7.0,0.05
2015-10-01,SAN.PA,0.0819884126414594,0.10241659595992036,0,-0.03720074778475846,-0.026963967153516455,-0.035658649269875164,0.10795041900448157,0.06982446929128051,-0.02042818331846097,0.55,0.2,7.5,0.05
2015-11-01,SAN.PA,-0.08132807900317751,0.02580867033733858,0,0.0819884126414594,-0.05524299687629841,0.05427036619756631,0.09245232779292689,0.07843133765278618,-0.10713674934051609,0.3,0.4,7.3,0.05
2015-12-01,SAN.PA,-0.06849991510041609,-0.06814012319233964,1,-0.08132807900317751,-0.036540414146476574,-0.004579423068283739,0.08448427246799602,0.08643348904615064,-0.00035979190807644557,0.05,0.1,7.0,0.05
2016-01-01,SAN.PA,-0.026081291350751656,-0.06807301265518617,0,-0.06849991510041609,-0.0678395814621342,-0.09480354861565066,0.09081443994833184,0.08953164830411914,0.041991721304434515,0.05,0.2,7.3,-0.3
